country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Ukraine,Kirovohrad,75,118663,6098873,154,109787,962771,-852984,39125,69015,58371,93134,80045,78084,111371,123959,94182,83838,120655,139445,114749,158521,167260,202343,197099,164222,127711,97472,115503,79073,63025,56688
Ukraine,L'viv,0,2179639,47372517,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,L'viv,10,797462,47220338,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,L'viv,15,778224,46951612,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,L'viv,20,765667,46775439,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,L'viv,25,756970,46645528,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,L'viv,30,743097,46433189,145,1573554,6846218,-5272664,1367374,426027,1132734,1448667,1131444,1321079,3298503,2541432,1659074,1531390,2692232,2349385,925092,1409886,1273933,2190291,1800423,1492917,1061871,1357806,1020374,1005987,2002316,1325067
Ukraine,L'viv,50,694378,45571128,163,1564707,6434660,-4869952,1365365,424425,1129252,1445173,1129105,1316432,3290246,2534960,1655434,1528843,2686561,2343697,919424,1400389,1266983,2169227,1781193,1475823,1053021,1343285,1010594,997335,1978872,1307339
Ukraine,L'viv,75,552507,38928083,187,1425000,5157731,-3732733,1319784,408876,1076400,1382545,1082270,1252013,3147880,2451681,1592334,1488126,2586480,2257137,788051,1217956,1112890,1862319,1505913,1215643,883910,1126868,841519,823262,1683905,1092217
Ukraine,Luhans'k,0,2706762,12848768,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Luhans'k,10,399148,12581471,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Luhans'k,15,347084,11725679,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Luhans'k,20,313997,11182606,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Luhans'k,25,276087,10505702,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Luhans'k,30,241080,9846761,127,499557,1901141,-1401584,34000,224193,139194,158098,237603,118823,105901,256078,226584,256834,311214,135029,56210,60209,123346,465215,218491,287183,107687,207575,2301768,816275,2318387,2823457
Ukraine,Luhans'k,50,175535,8394757,147,421144,1412345,-991201,29085,206453,122306,143180,224816,107504,87687,220112,190456,220491,268673,126766,48884,50243,104881,356847,176141,231114,90653,155441,1971232,673978,1974996,2325530
Ukraine,Luhans'k,75,88171,4635054,161,244823,776530,-531707,18533,156328,87289,101113,176479,71531,41155,149917,122285,153258,195233,94503,28355,30141,57409,146025,86022,104501,52234,72918,1126675,363267,1071850,1368750
Ukraine,Mykolayiv,0,2374103,4390865,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Mykolayiv,10,152933,4089863,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Mykolayiv,15,133736,3782312,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Mykolayiv,20,118861,3545428,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Mykolayiv,25,101986,3258392,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Mykolayiv,30,84967,2953875,109,23043,649975,-626933,78629,25987,7621,17160,8542,14989,19061,63518,21610,6279,7882,10596,5801,10660,6472,18720,45800,20221,6871,7173,26759,37017,34851,50816
Ukraine,Mykolayiv,50,54715,2330473,129,20838,419907,-399068,72949,22175,6658,14271,7699,13211,16733,58147,19745,5394,6723,8939,5323,10254,6301,17980,42793,18800,6017,6158,25057,32697,31131,44959
